1	14
14	27
27	40
40	53
53	66
66	79
79	92
92	105
105	118
118	131
131	144
144	157
2	15
15	28
28	41
41	54
54	67
67	80
80	93
93	106
106	119
119	132
132	145
145	158
3	16
42	55
55	68
94	107
107	120
146	159
4	17
17	30
30	43
43	56
56	69
69	82
82	95
95	108
108	121
121	134
134	147
147	160
5	18
18	31
31	44
70	83
83	96
122	135
135	148
148	161
6	19
19	32
32	45
45	58
58	71
71	84
84	97
97	110
110	123
123	136
136	149
149	162
7	20
46	59
59	72
98	111
111	124
150	163
8	21
21	34
34	47
47	60
60	73
73	86
86	99
99	112
112	125
125	138
138	151
151	164
9	22
22	35
35	48
74	87
87	100
126	139
139	152
152	165
10	23
23	36
36	49
49	62
62	75
75	88
88	101
101	114
114	127
127	140
140	153
153	166
11	24
50	63
63	76
102	115
115	128
154	167
12	25
25	38
38	51
51	64
64	77
77	90
90	103
103	116
116	129
129	142
142	155
155	168
13	26
26	39
39	52
52	65
65	78
78	91
91	104
104	117
117	130
130	143
143	156
156	169
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
14	15
15	16
16	17
17	18
18	19
19	20
20	21
21	22
22	23
23	24
24	25
25	26
27	28
30	31
31	32
34	35
35	36
38	39
40	41
41	42
42	43
43	44
44	45
45	46
46	47
47	48
48	49
49	50
50	51
51	52
53	54
54	55
55	56
58	59
59	60
62	63
63	64
64	65
66	67
67	68
68	69
69	70
70	71
71	72
72	73
73	74
74	75
75	76
76	77
77	78
79	80
82	83
83	84
86	87
87	88
90	91
92	93
93	94
94	95
95	96
96	97
97	98
98	99
99	100
100	101
101	102
102	103
103	104
105	106
106	107
107	108
110	111
111	112
114	115
115	116
116	117
118	119
119	120
120	121
121	122
122	123
123	124
124	125
125	126
126	127
127	128
128	129
129	130
131	132
134	135
135	136
138	139
139	140
142	143
144	145
145	146
146	147
147	148
148	149
149	150
150	151
151	152
152	153
153	154
154	155
155	156
157	158
158	159
159	160
160	161
161	162
162	163
163	164
164	165
165	166
166	167
167	168
168	169
14	1
27	14
40	27
53	40
66	53
79	66
92	79
105	92
118	105
131	118
144	131
157	144
15	2
28	15
41	28
54	41
67	54
80	67
93	80
106	93
119	106
132	119
145	132
158	145
16	3
55	42
68	55
107	94
120	107
159	146
17	4
30	17
43	30
56	43
69	56
82	69
95	82
108	95
121	108
134	121
147	134
160	147
18	5
31	18
44	31
83	70
96	83
135	122
148	135
161	148
19	6
32	19
45	32
58	45
71	58
84	71
97	84
110	97
123	110
136	123
149	136
162	149
20	7
59	46
72	59
111	98
124	111
163	150
21	8
34	21
47	34
60	47
73	60
86	73
99	86
112	99
125	112
138	125
151	138
164	151
22	9
35	22
48	35
87	74
100	87
139	126
152	139
165	152
23	10
36	23
49	36
62	49
75	62
88	75
101	88
114	101
127	114
140	127
153	140
166	153
24	11
63	50
76	63
115	102
128	115
167	154
25	12
38	25
51	38
64	51
77	64
90	77
103	90
116	103
129	116
142	129
155	142
168	155
26	13
39	26
52	39
65	52
78	65
91	78
104	91
117	104
130	117
143	130
156	143
169	156
2	1
3	2
4	3
5	4
6	5
7	6
8	7
9	8
10	9
11	10
12	11
13	12
15	14
16	15
17	16
18	17
19	18
20	19
21	20
22	21
23	22
24	23
25	24
26	25
28	27
31	30
32	31
35	34
36	35
39	38
41	40
42	41
43	42
44	43
45	44
46	45
47	46
48	47
49	48
50	49
51	50
52	51
54	53
55	54
56	55
59	58
60	59
63	62
64	63
65	64
67	66
68	67
69	68
70	69
71	70
72	71
73	72
74	73
75	74
76	75
77	76
78	77
80	79
83	82
84	83
87	86
88	87
91	90
93	92
94	93
95	94
96	95
97	96
98	97
99	98
100	99
101	100
102	101
103	102
104	103
106	105
107	106
108	107
111	110
112	111
115	114
116	115
117	116
119	118
120	119
121	120
122	121
123	122
124	123
125	124
126	125
127	126
128	127
129	128
130	129
132	131
135	134
136	135
139	138
140	139
143	142
145	144
146	145
147	146
148	147
149	148
150	149
151	150
152	151
153	152
154	153
155	154
156	155
158	157
159	158
160	159
161	160
162	161
163	162
164	163
165	164
166	165
167	166
168	167
169	168
